"Vuln ID","Severity","Group Title","Rule ID","STIG ID","Rule Title","Discussion","Check Content","Fix Text","CCI","NIST SP 800-53 Revision 4 References","Legacy",
"V-217846","low","SRG-OS-000480","SV-217846r505923_rule","RHEL-06-000001","The system must use a separate file system for /tmp.","The ""/tmp"" partition is used as temporary storage by many programs. Placing ""/tmp"" in its own partition enables the setting of more restrictive mount options, which can help protect programs which use it.","Run the following command to determine if ""/tmp"" is on its own partition or logical volume: 

$ mount | grep ""on /tmp ""

If ""/tmp"" has its own partition or volume group, a line will be returned. 
If no line is returned, this is a finding.","The ""/tmp"" directory is a world-writable directory used for temporary file storage. Ensure it has its own partition or logical volume at installation time, or migrate it using LVM.","CCI-000366","CM-6 b","V-38455; SV-50255",
"V-217847","low","SRG-OS-000480","SV-217847r505923_rule","RHEL-06-000002","The system must use a separate file system for /var.","Ensuring that ""/var"" is mounted on its own partition enables the setting of more restrictive mount options. This helps protect system services such as daemons or other programs which use it. It is not uncommon for the ""/var"" directory to contain world-writable directories, installed by other software packages.","Run the following command to determine if ""/var"" is on its own partition or logical volume: 

$ mount | grep ""on /var ""

If ""/var"" has its own partition or volume group, a line will be returned. 
If no line is returned, this is a finding.","The ""/var"" directory is used by daemons and other system services to store frequently-changing data. Ensure that ""/var"" has its own partition or logical volume at installation time, or migrate it using LVM.","CCI-000366","CM-6 b","V-38456; SV-50256",
"V-217848","low","SRG-OS-000480","SV-217848r505923_rule","RHEL-06-000003","The system must use a separate file system for /var/log.","Placing ""/var/log"" in its own partition enables better separation between log files and other files in ""/var/"".","Run the following command to determine if ""/var/log"" is on its own partition or logical volume: 

$ mount | grep ""on /var/log ""

If ""/var/log"" has its own partition or volume group, a line will be returned. 
If no line is returned, this is a finding.","System logs are stored in the ""/var/log"" directory. Ensure that it has its own partition or logical volume at installation time, or migrate it using LVM.","CCI-000366","CM-6 b","V-38463; SV-50263",
"V-217849","low","SRG-OS-000480","SV-217849r505923_rule","RHEL-06-000004","The system must use a separate file system for the system audit data path.","Placing ""/var/log/audit"" in its own partition enables better separation between audit files and other files, and helps ensure that auditing cannot be halted due to the partition running out of space.","Run the following command to determine if ""/var/log/audit"" is on its own partition or logical volume: 

$ mount | grep ""on /var/log/audit ""

If ""/var/log/audit"" has its own partition or volume group, a line will be returned. 
If no line is returned, this is a finding.","Audit logs are stored in the ""/var/log/audit"" directory. Ensure that it has its own partition or logical volume at installation time, or migrate it later using LVM. Make absolutely certain that it is large enough to store all audit logs that will be created by the auditing daemon.","CCI-000366","CM-6 b","V-38467; SV-50267",
"V-217850","medium","SRG-OS-000343","SV-217850r505923_rule","RHEL-06-000005","The audit system must alert designated staff members when the audit storage volume approaches capacity.","Notifying administrators of an impending disk space problem may allow them to take corrective action prior to any disruption.","Inspect ""/etc/audit/auditd.conf"" and locate the following line to determine if the system is configured to email the administrator when disk space is starting to run low: 

# grep space_left_action /etc/audit/auditd.conf
space_left_action = email


If the system is not configured to send an email to the system administrator when disk space is starting to run low, this is a finding.  The ""syslog"" option is acceptable when it can be demonstrated that the local log management infrastructure notifies an appropriate administrator in a timely manner.","The ""auditd"" service can be configured to take an action when disk space starts to run low. Edit the file ""/etc/audit/auditd.conf"". Modify the following line, substituting [ACTION] appropriately: 

space_left_action = [ACTION]

Possible values for [ACTION] are described in the ""auditd.conf"" man page. These include: 

""ignore""
""syslog""
""email""
""exec""
""suspend""
""single""
""halt""


Set this to ""email"" (instead of the default, which is ""suspend"") as it is more likely to get prompt attention.  The ""syslog"" option is acceptable, provided the local log management infrastructure notifies an appropriate administrator in a timely manner.

RHEL-06-000521 ensures that the email generated through the operation ""space_left_action"" will be sent to an administrator.","CCI-001855","AU-5 (1)","V-38470; SV-50270",
"V-217851","low","SRG-OS-000480","SV-217851r505923_rule","RHEL-06-000007","The system must use a separate file system for user home directories.","Ensuring that ""/home"" is mounted on its own partition enables the setting of more restrictive mount options, and also helps ensure that users cannot trivially fill partitions used for log or audit data storage.","Run the following command to determine if ""/home"" is on its own partition or logical volume: 

$ mount | grep ""on /home ""

If ""/home"" has its own partition or volume group, a line will be returned. 
If no line is returned, this is a finding.","If user home directories will be stored locally, create a separate partition for ""/home"" at installation time (or migrate it later using LVM). If ""/home"" will be mounted from another system such as an NFS server, then creating a separate partition is not necessary at installation time, and the mountpoint can instead be configured later.","CCI-000366","CM-6 b","V-38473; SV-50273",
"V-217852","high","SRG-OS-000366","SV-217852r505923_rule","RHEL-06-000008","Vendor-provided cryptographic certificates must be installed to verify the integrity of system software.","The Red Hat GPG keys are necessary to cryptographically verify packages are from Red Hat. ","To ensure that the GPG keys are installed, run:

$ rpm -q gpg-pubkey

The command should return the strings below:

gpg-pubkey-fd431d51-4ae0493b
gpg-pubkey-2fa658e0-45700c69

If the Red Hat GPG Keys are not installed, this is a finding.","To ensure the system can cryptographically verify base software packages come from Red Hat (and to connect to the Red Hat Network to receive them), the Red Hat GPG keys must be installed properly. To install the Red Hat GPG keys, run:

# rhn_register

If the system is not connected to the Internet or an RHN Satellite, then install the Red Hat GPG keys from trusted media such as the Red Hat installation CD-ROM or DVD. Assuming the disc is mounted in ""/media/cdrom"", use the following command as the root user to import them into the keyring:

# rpm --import /media/cdrom/RPM-GPG-KEY","CCI-001749","CM-5 (3)","V-38476; SV-50276",
"V-217853","low","SRG-OS-000096","SV-217853r505923_rule","RHEL-06-000009","The Red Hat Network Service (rhnsd) service must not be running, unless using RHN or an RHN Satellite.","Although systems management and patching is extremely important to system security, management by a system outside the enterprise enclave is not desirable for some environments. However, if the system is being managed by RHN or RHN Satellite Server the ""rhnsd"" daemon can remain on.","If the system uses RHN or an RHN Satellite, this is not applicable.

To check that the ""rhnsd"" service is disabled in system boot configuration, run the following command: 

# chkconfig ""rhnsd"" --list

Output should indicate the ""rhnsd"" service has either not been installed, or has been disabled at all runlevels, as shown in the example below: 

# chkconfig ""rhnsd"" --list
""rhnsd"" 0:off 1:off 2:off 3:off 4:off 5:off 6:off

Run the following command to verify ""rhnsd"" is disabled through current runtime configuration: 

# service rhnsd status

If the service is disabled the command will return the following output: 

rhnsd is stopped


If the service is running, this is a finding.","The Red Hat Network service automatically queries Red Hat Network servers to determine whether there are any actions that should be executed, such as package updates. This only occurs if the system was registered to an RHN server or satellite and managed as such. The ""rhnsd"" service can be disabled with the following commands: 

# chkconfig rhnsd off
# service rhnsd stop","CCI-000382","CM-7 b","V-38478; SV-50278",
"V-217854","medium","SRG-OS-000191","SV-217854r505923_rule","RHEL-06-000011","System security patches and updates must be installed and up-to-date.","Installing software updates is a fundamental mitigation against the exploitation of publicly-known vulnerabilities.","If the system is joined to the Red Hat Network, a Red Hat Satellite Server, or a yum server which provides updates, invoking the following command will indicate if updates are available: 

# yum check-update

If the system is not configured to update from one of these sources, run the following command to list when each package was last updated: 

$ rpm -qa -last

Compare this to Red Hat Security Advisories (RHSA) listed at https://access.redhat.com/security/updates/active/ to determine whether the system is missing applicable security and bugfix  updates. 
If updates are not installed, this is a finding.","If the system is joined to the Red Hat Network, a Red Hat Satellite Server, or a yum server, run the following command to install updates: 

# yum update

If the system is not configured to use one of these sources, updates (in the form of RPM packages) can be manually downloaded from the Red Hat Network and installed using ""rpm"".","CCI-001233","SI-2 (2)","V-38481; SV-50281",
"V-217855","medium","SRG-OS-000366","SV-217855r505923_rule","RHEL-06-000013","The system package management tool must cryptographically verify the authenticity of system software packages during installation.","Ensuring the validity of packages' cryptographic signatures prior to installation ensures the provenance of the software and protects against malicious tampering.","To determine whether ""yum"" is configured to use ""gpgcheck"", inspect ""/etc/yum.conf"" and ensure the following appears in the ""[main]"" section: 

gpgcheck=1

A value of ""1"" indicates that ""gpgcheck"" is enabled. Absence of a ""gpgcheck"" line or a setting of ""0"" indicates that it is disabled. 
If GPG checking is not enabled, this is a finding.

If the ""yum"" system package management tool is not used to update the system, verify with the SA that installed packages are cryptographically signed.","The ""gpgcheck"" option should be used to ensure checking of an RPM package's signature always occurs prior to its installation. To configure yum to check package signatures before installing them, ensure the following line appears in ""/etc/yum.conf"" in the ""[main]"" section: 

gpgcheck=1","CCI-001749","CM-5 (3)","V-38483; SV-50283",
