"Vuln ID","Severity","Group Title","Rule ID","STIG ID","Rule Title","Discussion","IA Controls","Check Content","Fix Text","False Positives","False Negatives","Documentable","Mitigations","Potential Impact","Third Party Tools","Mitigation Control","Responsibility","Severity Override Guidance","Check Content Reference","Classification","STIG","VMS Asset Posture","CCI",
"V-756","medium","GEN000020","SV-36753r1_rule","GEN000020","The system must require authentication upon booting into single-user and maintenance modes.","If the system does not require valid root authentication before it boots into single-user or maintenance mode, anyone who invokes single-user or maintenance mode is granted privileged access to all files on the system.","IAIA-1, IAIA-2","This can be checked in the /etc/default/sulogin file (on Solaris 5.X systems) to check if the system runs sulogin, or an equivalent, when booting into single-user mode.","Edit /etc/default/sulogin and set PASSREQ=YES or remove /etc/default/sulogin entirely.  NOTE: This is a default on Solaris 5.5.1 and later. ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000213
The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
NIST SP 800-53 :: AC-3
NIST SP 800-53A :: AC-3.1
NIST SP 800-53 Revision 4 :: AC-3

",
"V-760","medium","GEN000280","SV-41504r1_rule","GEN000280","Direct logins must not be permitted to shared, default, application, or utility accounts.","Shared accounts (accounts where two or more people log in with the same user identification) do not provide identification and authentication.  There is no way to provide for non-repudiation or individual accountability.","IAIA-1","Use the last command to check for multiple accesses to an account from different workstations/IP addresses. If users log directly onto accounts, rather than using the su command from their own named account to access them, this is a finding (such as logging directly on to Oracle). Also, ask the SA or the IAO if shared accounts are logged into directly or if users log on to an individual account and switch user to the shared account.

","Use the switch user (su) command from a named account login to access shared accounts. Maintain audit trails that identify the actual user of the account name. Document requirements and procedures for users/administrators to log into their own accounts first and then switch user (su) to the shared account.  ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000770
The organization requires individuals to be authenticated with an individual authenticator when a group authenticator is employed.
NIST SP 800-53 :: IA-2 (5) (b)
NIST SP 800-53A :: IA-2 (5).2 (ii)
NIST SP 800-53 Revision 4 :: IA-2 (5)

",
"V-761","medium","GEN000300","SV-27061r2_rule","GEN000300","All accounts on the system must have unique user or account names.","A unique user name is the first part of the identification and authentication process.  If user names are not unique, there can be no accountability on the system for auditing purposes.  Multiple accounts sharing the same name could result in the Denial of Service to one or both of the accounts or unauthorized access to files or privileges.","","Check the system for duplicate account names.

Example:
# passwd -sa | sort | uniq -c | awk '$1 > 1 {print $2}'

If any duplicate account names are found, this is a finding.","Change user account names, or delete accounts, so each account has a unique name. ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000764
The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).
NIST SP 800-53 :: IA-2
NIST SP 800-53A :: IA-2.1
NIST SP 800-53 Revision 4 :: IA-2

",
"V-762","medium","GEN000320","SV-27065r1_rule","GEN000320","All accounts must be assigned unique User Identification Numbers (UIDs).","Accounts sharing a UID have full access to each others' files.  This has the same effect as sharing a login.  There is no way to assure identification, authentication, and accountability because the system sees them as the same user. If the duplicate UID is 0, this gives potential intruders another privileged account to attack.","IAIA-1, IAIA-2","Perform the following to ensure there are no duplicate UIDs.
# logins -d
If any duplicate UIDs are found, this is a finding.","Edit user accounts to provide unique UIDs for each account.","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000764
The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).
NIST SP 800-53 :: IA-2
NIST SP 800-53A :: IA-2.1
NIST SP 800-53 Revision 4 :: IA-2

",
"V-763","medium","GEN000400","SV-28596r1_rule","GEN000400","The Department of Defense (DoD) login banner must be displayed immediately prior to, or as part of, console login prompts.","Failure to display the login banner prior to a logon attempt will negate legal proceedings resulting from unauthorized access to system resources.","ECWM-1","Access the system console and make a logon attempt. Check for either of the following login banners based on the character limitations imposed by the system. An exact match is required. If one of these banners is not displayed, this is a finding.

""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details. ""

OR

""I've read & consent to terms in IS user agreem't.""","Edit /etc/issue and add one of the DoD login banners (based on the character limitations imposed by the system).

DoD Login Banners:

""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.""

OR

""I've read & consent to terms in IS user agreem't.""","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000048
The information system displays an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.
NIST SP 800-53 :: AC-8 a
NIST SP 800-53A :: AC-8.1 (ii)
NIST SP 800-53 Revision 4 :: AC-8 a

",
"V-765","medium","GEN000440","SV-27080r1_rule","GEN000440","Successful and unsuccessful logins and logouts must be logged.","Monitoring and recording successful and unsuccessful logins assist in tracking unauthorized access to the system.  Without this logging, the ability to track unauthorized activity to specific user accounts may be diminished.","ECAR-1, ECAR-2, ECAR-3","Determine if successful logons are being logged.
# last | more

Determine if unsuccessful logons are being logged.
# more /var/adm/loginlog

If the commands do not return successful and unsuccessful logins, this is a finding.

Check the syslog daemon configuration for authentication logging.
# egrep ""auth\.(info|debug)"" /etc/syslog.conf
If there are no entries in syslog for the auth service,  this is a finding.","Verify that login logs are handled correctly in the /etc/syslog.conf file.   Edit the /etc/syslog.conf file and add one of the entries below.

auth.debug    /var/log/authlog
OR 
auth.*    /var/log/authlog

Verify that service startup scripts for syslog and utmp (if present) are enabled. 
","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000126
The organization determines that the organization-defined subset of the auditable events defined in AU-2 are to be audited within the information system.
NIST SP 800-53 :: AU-2 d
NIST SP 800-53A :: AU-2.1 (v)
NIST SP 800-53 Revision 4 :: AU-2 d

",
"V-766","medium","GEN000460","SV-39815r1_rule","GEN000460","The system must disable accounts after three consecutive unsuccessful login attempts.","Disabling accounts after a limited number of unsuccessful login attempts improves protection against password guessing attacks.","ECLO-1, ECLO-2","Verify RETRIES is set in the login file.

# grep RETRIES /etc/default/login 
If RETRIES is not set or is more than 3, this is a finding.

Verify the account locks after invalid login attempts.
# grep LOCK_AFTER_RETRIES /etc/security/policy.conf  
If LOCK_AFTER_RETRIES is not set to YES,  this is a finding.","Set RETRIES to 3 in the /etc/default/login file.
#vi /etc/default/login

Set LOCK_AFTER_RETRIES to YES in the /etc/security/policy.conf file.
#vi /etc/security/policy.conf","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000044
The information system enforces the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.
NIST SP 800-53 :: AC-7 a
NIST SP 800-53A :: AC-7.1 (ii)
NIST SP 800-53 Revision 4 :: AC-7 a

",
"V-768","medium","GEN000480","SV-27094r1_rule","GEN000480","The delay between login prompts following a failed login attempt must be at least 4 seconds.","Enforcing a delay between successive failed login attempts increases protection against automated password guessing attacks.
","ECLO-1, ECLO-2","Check the SLEEPTIME parameter in the /etc/default/login file.

# grep SLEEPTIME /etc/default/login

If SLEEPTIME is not listed, commented out, or less than 4, this is a finding.","Edit the /etc/default/login file and set SLEEPTIME to 4. ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-002238
The information system automatically locks the account or node for either an organization-defined time period, until the locked account or node is released by an administrator, or delays the next login prompt according to the organization-defined delay algorithm when the maximum number of unsuccessful attempts is exceeded.
NIST SP 800-53 Revision 4 :: AC-7 b

",
"V-769","medium","GEN000520","SV-769r2_rule","GEN000520","The root user must not own the logon session for an application requiring a continuous display.","If an application is providing a continuous display and is running with root privileges, unauthorized users could interrupt the process and gain root access to the system.","PESL-1","If there is an application running on the system continuously in use (such as a network monitoring application), ask the SA what the name of the application is. Execute the following to determine which user owns the process(es) associated with the application. If the owner is root, this is a finding.

# ps -ef | more","Configure the system so the owner of a session requiring a continuous screen display, such as a network management display, is not root. Ensure the display is also located in a secure, controlled access area. Document and justify this requirement. Ensure the terminal and keyboard for the display (or workstation) are secure from all but authorized personnel by maintaining them in a secure area, in a locked cabinet where a swipe card, or other positive forms of identification, must be used to gain entry.  ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000225
The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.
NIST SP 800-53 :: AC-6
NIST SP 800-53A :: AC-6.1
NIST SP 800-53 Revision 4 :: AC-6

",
"V-770","high","GEN000560","SV-27105r1_rule","GEN000560","The system must not have accounts configured with blank or null passwords.","If an account is configured for password authentication but does not have an assigned password, it may be possible to log into the account without authentication.  If the root user is configured without a password, the entire system may be compromised.  For user accounts not using password authentication, the account must be configured with a password lock value instead of a blank or null value.  ","IAIA-1, IAIA-2","Verify no accounts have blank passwords.

# logins -p

If any account with a blank password is found, this is a finding.","Remove, lock, or configure a password for any account with a blank password.   ","","","false","","","","","System Administrator","","M","Unclass","Solaris 10 SPARC Security Technical Implementation Guide :: Version 1, Release: 24 Benchmark Date: 25 Jan 2019","24","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

",
