Vuln ID,Severity,Group Title,Rule ID,STIG ID,Rule Title,Discussion,IA Controls,Check Content,Fix Text,False Positives,False Negatives,Documentable,Mitigations,Potential Impact,Third Party Tools,Mitigation Control,Responsibility,Severity Override Guidance,Check Content Reference,Classification,STIG,VMS Asset Posture,CCI
V-38437,low,SRG-OS-999999,SV-50237r1_rule,RHEL-06-000526,Automated file system mounting tools must not be enabled unless needed.,"All filesystems that are required for the successful operation of the system should be explicitly listed in ""/etc/fstab"" by an administrator. New filesystems should not be arbitrarily introduced via the automounter.

The ""autofs"" daemon mounts and unmounts filesystems, such as user home directories shared via NFS, on demand. In addition, autofs can be used to handle removable media, and the default configuration provides the cdrom device as ""/misc/cd"". However, this method of providing access to removable media is not common, so autofs can almost always be disabled if NFS is not in use. Even if NFS is required, it is almost always possible to configure filesystem mounts statically by editing ""/etc/fstab"" rather than relying on the automounter. ",,,"If the ""autofs"" service is not needed to dynamically mount NFS filesystems or removable media, disable the service for all runlevels: 

# chkconfig --level 0123456 autofs off

Stop the service if it is already running: 

# service autofs stop",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:621,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
V-38438,low,SRG-OS-000062,SV-50238r4_rule,RHEL-06-000525,Auditing must be enabled at boot by setting a kernel parameter.,"Each process on the system carries an ""auditable"" flag which indicates whether its activities can be audited. Although ""auditd"" takes care of enabling this for all processes which launch after it does, adding the kernel argument ensures it is set for every process during boot.",,,"To ensure all processes can be audited, even those which start prior to the audit daemon, add the argument ""audit=1"" to the kernel line in ""/boot/grub/grub.conf"" or “/boot/efi/EFI/redhat/grub.conf”, in the manner below:

kernel /vmlinuz-version ro vga=ext root=/dev/VolGroup00/LogVol00 rhgb quiet audit=1

UEFI systems may prepend ""/boot"" to the ""/vmlinuz-version"" argument.",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:159,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000169
The information system provides audit record generation capability for the auditable events defined in AU-2 a at organization-defined information system components.
NIST SP 800-53 :: AU-12 a
NIST SP 800-53A :: AU-12.1 (ii)
NIST SP 800-53 Revision 4 :: AU-12 a

"
V-38443,medium,SRG-OS-999999,SV-50243r1_rule,RHEL-06-000036,The /etc/gshadow file must be owned by root.,"The ""/etc/gshadow"" file contains group password hashes. Protection of this file is critical for system security.",,,"To properly set the owner of ""/etc/gshadow"", run the command: 

# chown root /etc/gshadow",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:1012,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
V-38448,medium,SRG-OS-999999,SV-50248r1_rule,RHEL-06-000037,The /etc/gshadow file must be group-owned by root.,"The ""/etc/gshadow"" file contains group password hashes. Protection of this file is critical for system security.",,,"To properly set the group owner of ""/etc/gshadow"", run the command: 

# chgrp root /etc/gshadow",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:739,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
V-38449,medium,SRG-OS-999999,SV-50249r1_rule,RHEL-06-000038,The /etc/gshadow file must have mode 0000.,The /etc/gshadow file contains group password hashes. Protection of this file is critical for system security.,,,"To properly set the permissions of ""/etc/gshadow"", run the command: 

# chmod 0000 /etc/gshadow",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:727,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
V-38450,medium,SRG-OS-999999,SV-50250r1_rule,RHEL-06-000039,The /etc/passwd file must be owned by root.,"The ""/etc/passwd"" file contains information about the users that are configured on the system. Protection of this file is critical for system security.",,,"To properly set the owner of ""/etc/passwd"", run the command: 

# chown root /etc/passwd",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:554,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
V-38451,medium,SRG-OS-999999,SV-50251r1_rule,RHEL-06-000040,The /etc/passwd file must be group-owned by root.,"The ""/etc/passwd"" file contains information about the users that are configured on the system. Protection of this file is critical for system security.",,,"To properly set the group owner of ""/etc/passwd"", run the command: 

# chgrp root /etc/passwd",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:969,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
V-38455,low,SRG-OS-999999,SV-50255r1_rule,RHEL-06-000001,The system must use a separate file system for /tmp.,"The ""/tmp"" partition is used as temporary storage by many programs. Placing ""/tmp"" in its own partition enables the setting of more restrictive mount options, which can help protect programs which use it.",,,"The ""/tmp"" directory is a world-writable directory used for temporary file storage. Ensure it has its own partition or logical volume at installation time, or migrate it using LVM.",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:1183,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
V-38456,low,SRG-OS-999999,SV-50256r1_rule,RHEL-06-000002,The system must use a separate file system for /var.,"Ensuring that ""/var"" is mounted on its own partition enables the setting of more restrictive mount options. This helps protect system services such as daemons or other programs which use it. It is not uncommon for the ""/var"" directory to contain world-writable directories, installed by other software packages.",,,"The ""/var"" directory is used by daemons and other system services to store frequently-changing data. Ensure that ""/var"" has its own partition or logical volume at installation time, or migrate it using LVM.",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:161,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
V-38457,medium,SRG-OS-999999,SV-50257r1_rule,RHEL-06-000041,The /etc/passwd file must have mode 0644 or less permissive.,"If the ""/etc/passwd"" file is writable by a group-owner or the world the risk of its compromise is increased. The file contains the list of accounts on the system and associated information, and protection of this file is critical for system security.",,,"To properly set the permissions of ""/etc/passwd"", run the command: 

# chmod 0644 /etc/passwd",,,FALSE,,,,,,,oval:mil.disa.fso.redhat.rhel6:def:1181,Unclass,"Red Hat Enterprise Linux 6 Security Technical Implementation Guide :: Version 1, Release: 22 Benchmark Date: 25 Jan 2019",2367,"CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

"
